"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"67",7,"Chuba Hubbard",CAR,"13","3 out of 5 stars","-10"
"68",7,"Samaje Perine",CIN,"10","3 out of 5 stars","+10"
"69",7,"Trey Sermon",SF,"9","2 out of 5 stars","+5"
"70",7,"Tyrion Davis-Price",SF,"9","2 out of 5 stars","-7"
"71",7,"Damien Williams",ATL,"14","1 out of 5 stars","+6"
"72",7,"Jeff Wilson Jr.",SF,"9","2 out of 5 stars","+1"
"73",7,"Isiah Pacheco",KC,"8","3 out of 5 stars","+23"
"74",7,"Jerick McKinnon",KC,"8","3 out of 5 stars","-10"
"75",7,"Zack Moss",BUF,"7","4 out of 5 stars","+5"
"76",7,"Rex Burkhead",HOU,"6","3 out of 5 stars","-7"
"77",7,"Mike Davis",BAL,"10","4 out of 5 stars","-5"
"78",8,"Hassan Haskins",TEN,"6","4 out of 5 stars","-10"
"79",8,"Ty Johnson",NYJ,"10","4 out of 5 stars","+30"
"80",8,"Justin Jackson",DET,"6","4 out of 5 stars","-"
"81",8,"Matt Breida",NYG,"9","3 out of 5 stars","-6"
"82",8,"Pierre Strong Jr.",NE,"10","4 out of 5 stars","+15"
"83",8,"Chris Evans",CIN,"10","3 out of 5 stars","-7"
"84",8,"Eno Benjamin",ARI,"13","2 out of 5 stars","+3"
"85",8,"Darrynton Evans",CHI,"14","5 out of 5 stars","-"
"86",8,"Ke'Shawn Vaughn",TB,"11","2 out of 5 stars","-2"
"87",8,"Joshua Kelley",LAC,"8","2 out of 5 stars","-"
"88",8,"Phillip Lindsay",IND,"14","3 out of 5 stars","-6"
"89",8,"Tyler Badie",BAL,"10","4 out of 5 stars","+1"
"90",8,"Salvon Ahmed",MIA,"11","4 out of 5 stars","-"
"91",8,"Duke Johnson Jr.",BUF,"7","4 out of 5 stars","+7"
"92",8,"DeeJay Dallas",SEA,"11","2 out of 5 stars","-"
"93",9,"Latavius Murray",FA,"-","-","+12"
"94",9,"Giovani Bernard",TB,"11","2 out of 5 stars","+1"
"95",9,"Kyren Williams",LAR,"7","2 out of 5 stars","-1"
"96",9,"Dontrell Hilliard",TEN,"6","4 out of 5 stars","-10"
"97",9,"Tevin Coleman",NYJ,"10","4 out of 5 stars","+11"
"98",9,"Jaret Patterson",WAS,"14","4 out of 5 stars","+9"
"99",9,"David Johnson",FA,"-","-","0"
"100",9,"Snoop Conner",JAC,"11","3 out of 5 stars","+1"
"101",9,"Devontae Booker",FA,"-","-","-13"
"102",9,"Jerome Ford",CLE,"9","3 out of 5 stars","-"
"103",9,"Wayne Gallman Jr.",FA,"-","-","+3"
"104",9,"Malcolm Brown",FA,"-","-","-"
"105",9,"Kevin Harris",NE,"10","4 out of 5 stars","-"
"106",9,"Devonta Freeman",FA,"-","-","-3"
"107",9,"Craig Reynolds",DET,"6","4 out of 5 stars","-"
"108",9,"Brandon Bolden",LV,"6","2 out of 5 stars","-23"
"109",9,"Kene Nwangwu",MIN,"7","4 out of 5 stars","-"
"110",9,"Benny Snell Jr.",PIT,"9","3 out of 5 stars","-"
"111",9,"Derrick Gore",KC,"8","3 out of 5 stars","-19"
"112",9,"Jordan Howard",FA,"-","-","-8"
"113",9,"Keaontay Ingram",ARI,"13","2 out of 5 stars","-30"
"114",9,"Abram Smith",NO,"14","3 out of 5 stars","-23"
"115",9,"Anthony McFarland Jr.",PIT,"9","3 out of 5 stars","-"
